S.No,Product Name,Material,Size,Colour
1,Tej Dagger,Metal,Small,Gold
2,Nag Dagger,Metal,Medium,Gold
3,Veer Dagger,Metal,Large,Gold
4,Arjun Dagger,Metal,Set,Gold
5,Kundan Dagger,Velvet,Medium,Maroon
6,Chandi Dagger,Metal,Medium,Silver
7,Shahi Dagger,Metal,Large,Silver
