S.No,Product Name,Material,Size,Colour
1,Kesar Scarf,Kota,Free,Peach
2,Zari Scarf,Kota,Free,Peach
3,Hawa Scarf,Satin,Free,Chocolate
4,Bahar Scarf,Satin,Free,Red
5,Neela Scarf,Satin,Free,Blue
6,Shahi Scarf,Satin,Free,Teal
